,Ano,Mes,Dia,Hora,Normal,HorarioEconomico,Autoconsumo,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
0,2023,1,1,0,0.0,0.467,0.0,12.93,12.76,12.72,13.43,1019.0,95.0,2.02,3.72,100.0,moderate rain
1,2023,1,1,1,0.0,0.577,0.0,13.49,13.38,13.43,13.9,1018.0,95.0,2.18,3.26,100.0,moderate rain
2,2023,1,1,2,0.0,0.346,0.0,13.55,13.44,13.48,14.82,1017.0,95.0,2.88,2.44,100.0,moderate rain
3,2023,1,1,3,0.0,0.27,0.0,13.61,13.51,12.01,14.82,1016.0,95.0,3.63,1.74,100.0,moderate rain
4,2023,1,1,4,0.0,0.252,0.0,13.59,13.49,12.01,14.82,1015.0,95.0,4.58,1.13,100.0,moderate rain
5,2023,1,1,5,0.0,0.255,0.0,13.7,13.61,13.12,15.82,1014.0,95.0,6.36,1.23,99.0,moderate rain
6,2023,1,1,6,0.0,0.256,0.0,14.22,14.18,14.04,16.12,1014.0,95.0,8.55,1.2,100.0,moderate rain
7,2023,1,1,7,0.0,0.263,0.0,15.3,15.31,14.79,16.82,1015.0,93.0,8.37,2.2,100.0,moderate rain
8,2023,1,1,8,0.275,0.0,0.002,16.8,16.55,15.66,16.82,1015.0,77.0,8.29,2.2,100.0,moderate rain
9,2023,1,1,9,0.331,0.0,0.0,16.61,16.31,14.72,16.82,1014.0,76.0,8.38,2.13,100.0,moderate rain
10,2023,1,1,10,0.271,0.0,0.0,15.03,14.86,13.72,15.15,1015.0,87.0,7.31,2.04,100.0,moderate rain
11,2023,1,1,11,0.25,0.0,0.022,13.76,13.65,13.34,14.04,1014.0,94.0,7.36,3.1,100.0,moderate rain
12,2023,1,1,12,0.778,0.0,0.056,14.1,14.02,13.34,14.82,1014.0,94.0,6.82,4.96,100.0,heavy intensity rain
13,2023,1,1,13,0.496,0.0,0.007,14.1,14.05,13.9,14.82,1014.0,95.0,4.85,6.11,100.0,heavy intensity rain
14,2023,1,1,14,0.338,0.0,0.016,13.92,13.82,12.72,14.04,1014.0,94.0,3.26,6.38,100.0,heavy intensity rain
15,2023,1,1,15,0.362,0.0,0.001,13.5,13.36,12.57,13.82,1015.0,94.0,1.97,6.16,100.0,heavy intensity rain
16,2023,1,1,16,1.326,0.0,0.0,13.3,13.17,11.68,13.48,1015.0,95.0,1.77,5.42,100.0,heavy intensity rain
17,2023,1,1,17,0.631,0.0,0.0,11.83,11.55,11.72,12.32,1015.0,95.0,1.67,3.76,100.0,moderate rain
